leiden_scanpy,score_hepatocyte,score_periportal_hepatocyte_program,score_pericentral_hepatocyte_program,score_cholangiocyte_biliary,score_endothelial_general,score_liver_sinusoidal_endothelial,score_macrophage_kupffer_like,score_stellate_fibroblast,score_t_cell,score_nk_cell_cytotoxic,score_b_cell,score_plasma_cell,score_proliferation,score_hcc_or_fetal_like_program_careful,score_hypoxia_angiogenesis,score_immune_checkpoint_exhaustion
0,-0.25889890453529,-0.12785986991409748,-0.21282636269209573,-0.0015967157085461422,-0.018227448234237394,-0.034021231062264526,-0.26057800978676077,-0.006419242969232351,0.5928289330491351,-0.35857646884793404,-0.021936668247429878,-0.29723213914166524,0.006995757100395776,-0.02153378936050981,0.09049291614472951,0.049129821764562785
1,-0.2360921692770156,-0.09821628363304719,-0.19083079903725,-0.0013122319694303401,-0.013128796247485064,-0.025129799985217464,-0.21880444497252677,-0.0037625490419466554,0.32222910416171463,-0.016986766466483543,-0.018687213962191754,-0.3503783651608023,0.027166559852844923,-0.017219286804100016,0.13478028039882117,0.15893004715628292
2,-0.2885809813837836,-0.14460803929429716,-0.18812865163692086,-0.0022216858081066616,-0.018907252063116213,-0.04056426301429723,-0.2660241118065132,0.0007499969232377536,-0.2999716361080751,1.7725513789990492,-0.0353485628361585,-0.3002351156659129,0.01510917000858857,-0.02364688908641946,0.10465451943976711,0.08725989053136952
3,-0.23303339345628846,-0.1020685837978254,0.03692480292337063,0.0002846287203800836,-0.006635592041562072,-0.012288004325104006,0.2823283538902512,-0.007122047796914291,-1.052494016786016,-1.0349614905290934,-0.03348160455208563,-0.40220791116112276,-0.012710677233030578,0.017312166947599288,0.23618916024198713,-0.004931580655568472
4,-0.27487166782318717,-0.1377936413346074,-0.20364070496517386,-0.0019198113034859135,-0.01370103972767916,-0.03634309953788851,-0.2575349300946788,-0.0018011811202948498,0.1927124412704191,0.08476098206724197,-0.020803587939774992,-0.38195807572833357,0.0069117952581356475,-0.020960571896934326,0.07467497851491235,0.14304969844313034
5,-0.2783072625793344,-0.1534221035574734,-0.2263290753096277,-0.0023142546374883602,-0.012223487064475614,-0.03668372288625194,-0.24050412314563718,-0.011105467777749106,-0.9356822174550224,0.5427591471305061,0.0029584307305504974,-0.24656810660579154,0.014225735860526029,-0.015373358657105667,0.09915949367316461,0.11998838142694418
6,-0.21622917763585484,-0.09152068899599945,-0.008760244500027789,-0.002129851925177281,0.007296173504533121,0.057577920930562354,1.1200383124407784,-0.010396689998576049,-1.0967722942509481,-1.0890928604667232,-0.04809704515558957,-0.3306531296170479,0.05331283014703794,0.0011297809581618803,0.2407927413420534,0.07073957422464897
7,-0.25049709153462507,-0.115011513635145,-0.19952235307056532,-0.0017754601767250597,-0.01714288739885194,-0.029996323975756658,-0.23582598569745597,-0.0054511613270034785,0.3838501073925013,-0.05836077902113755,-0.026662926735087574,-0.34860632483873233,0.02592343252873041,-0.020371858329867595,0.12572263473090317,0.14059527728232252
8,-0.24286858889892823,-0.09956371348983026,0.04453237867901376,0.002992340633754622,-0.010357370754729452,-0.020778455202841755,0.12328088969648672,-0.005404913784550142,-1.1027474724715807,-1.0668773331523702,0.08927693071524158,-0.49794035938985876,-0.008086659530179778,-0.015959177041398213,0.22730906831092737,0.009877056133274921
9,1.5532322952761006,1.2125981232079868,1.2371987100091357,-0.013577239696100543,-0.09918796920636161,-0.16504912371632915,-0.36880452737096775,-0.0540627537946276,-0.24177318255718727,-0.19188082822896696,-0.21176267301904655,-0.05330832344837866,-0.2545066336116015,0.04958030541561723,0.02372097207858725,-0.30714516063110514
