gene,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh
DPT,0.2690008292577358,0.0,4.7245638e-05,0.0,0.009900990099009901,5.287629465031724e-05,0.0,0.0,0.0222995272500223
CLDN4,0.25832539037942304,0.0,4.7245638e-05,0.0,0.009900990099009901,5.119001072729455e-05,0.0,0.0,0.0222995272500223
MTRNR2L10,0.25721664133959393,0.0,4.7245638e-05,0.0,0.009900990099009901,5.4215361688665267e-05,0.0,0.0,0.0222995272500223
PTP4A1,0.2554208552427233,0.0,4.7245638e-05,0.0,0.009900990099009901,4.559065399334203e-05,0.0,0.0,0.0222995272500223
HLA-DRB5,0.25270792950063364,0.0,4.7245638e-05,0.0,0.009900990099009901,5.4539029596023576e-05,0.0,0.0,0.0222995272500223
TPM2,0.2486095584196037,0.0,4.7245638e-05,0.0,0.009900990099009901,4.9457158411069436e-05,0.0,0.0,0.0222995272500223
SOD3,0.24657061835466726,0.0,4.7245638e-05,0.0,0.009900990099009901,5.04268924416806e-05,0.0,0.0,0.0222995272500223
MTRNR2L2,0.2349036245771727,0.0,4.7245638e-05,0.0,0.009900990099009901,5.346283152853501e-05,0.0,0.0,0.0222995272500223
GSN,0.22355622239565098,0.0,4.7245638e-05,0.0,0.009900990099009901,6.603169125716763e-05,0.0,0.0,0.0222995272500223
ADAMTSL2,0.20634606654326332,0.0,4.7245638e-05,0.0,0.009900990099009901,4.606832076091349e-05,0.0,0.0,0.0222995272500223
ACTG2,0.2038514632066715,0.0,4.7245638e-05,0.0,0.009900990099009901,3.947116140259966e-05,0.0,0.0,0.0222995272500223
FAM107A,0.19923704678218898,0.0,4.7245638e-05,0.0,0.009900990099009901,5.197695387392031e-05,0.0,0.0,0.0222995272500223
DPYS,0.19683841389380247,0.0,4.7245638e-05,0.0,0.009900990099009901,3.702217829007459e-05,0.0,0.0,0.0222995272500223
INMT,0.1941043063896166,0.0,4.7245638e-05,0.0,0.009900990099009901,3.8199254771348744e-05,0.0,0.0,0.0222995272500223
IGJ,0.18966853501175127,0.0,4.7245638e-05,0.0,0.009900990099009901,3.97906094184471e-05,0.0,0.0,0.0222995272500223
POR,0.18837417679572982,0.0,4.7245638e-05,0.0,0.009900990099009901,3.5633640136554044e-05,0.0,0.0,0.0222995272500223
ADAMTS4,0.18829806395439044,0.0,4.7245638e-05,0.0,0.009900990099009901,4.5918042655093084e-05,0.0,0.0,0.0222995272500223
SPARCL1,0.18484141713087365,0.0,4.7245638e-05,0.0,0.009900990099009901,4.6561484459680926e-05,0.0,0.0,0.0222995272500223
SPP1,0.17488945311967266,0.0,4.7245638e-05,0.0,0.009900990099009901,4.6778998362375144e-05,0.0,0.0,0.0222995272500223
CDKN1A,0.17400808681952445,0.0,4.7245638e-05,0.0,0.009900990099009901,4.6904732415605395e-05,0.0,0.0,0.0222995272500223
CD74,0.1731586986304885,0.0,4.7245638e-05,0.0,0.009900990099009901,3.682792936018077e-05,0.0,0.0,0.0222995272500223
ARC,0.17164070564208245,0.0,4.7245638e-05,0.0,0.009900990099009901,2.28497519197721e-05,0.0,0.0,0.0222995272500223
DBH,0.17005602330410655,0.0,4.7245638e-05,0.0,0.009900990099009901,4.493692547390846e-05,0.0,0.0,0.0222995272500223
TNXB,0.16861534972353917,0.0,4.7245638e-05,0.0,0.009900990099009901,3.885438311560782e-05,0.0,0.0,0.0222995272500223
LMOD1,0.16667842007974382,0.0,4.7245638e-05,0.0,0.009900990099009901,3.663536336752934e-05,0.0,0.0,0.0222995272500223
QSOX1,0.16396473331070255,0.0,4.7245638e-05,0.0,0.009900990099009901,4.3889116797290114e-05,0.0,0.0,0.0222995272500223
TM4SF4,0.16166951980055827,0.0,4.7245638e-05,0.0,0.009900990099009901,4.95722569749332e-05,0.0,0.0,0.0222995272500223
HES4,0.16068941852082674,0.0,4.7245638e-05,0.0,0.009900990099009901,3.986510216108653e-05,0.0,0.0,0.0222995272500223
COLEC11,0.15464249921663287,0.0,4.7245638e-05,0.0,0.009900990099009901,4.243008787909319e-05,0.0,0.0,0.0222995272500223
